April,Avg
2022-10-01,54.3
2022-10-02,45.5
2022-10-03,42.5
2022-10-04,46.2
2022-10-05,49.9
2022-10-06,44.9
2022-10-07,44.4
2022-10-08,52.4
2022-10-09,49.3
2022-10-10,47.4
2022-10-11,51.1
2022-10-12,57.7
2022-10-13,59.4
2022-10-14,47.7
2022-10-15,57.0
2022-10-16,56.1
2022-10-17,45.2
2022-10-18,45.2
2022-10-19,48.9
2022-10-20,48.6
2022-10-21,50.7
2022-10-22,56.9
2022-10-23,51.2
2022-10-24,46.4
2022-10-25,48.6
2022-10-26,50.4
2022-10-27,51.6
2022-10-28,45.8
2022-10-29,47.4
2022-10-30,47.3